,disc_number,duration_ms,id,name,popularity,track_number,type_x,album.album_type,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,id_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_y,uri,track_href,analysis_url,time_signature
0,1,244133,6EIVLz5xM1xE29r0OmIkWt,Falling Slowly,66,1,track,album,Music From The Motion Picture Once,2007-05-22,day,13,album,3Caot8EtHX6wLpNF2wRzS0,0.34,0.209,0,-11.869,1,0.0279,0.679,0.000443,0.101,0.151,137.042,audio_features,spotify:track:6EIVLz5xM1xE29r0OmIkWt,https://api.spotify.com/v1/tracks/6EIVLz5xM1xE29r0OmIkWt,https://api.spotify.com/v1/audio-analysis/6EIVLz5xM1xE29r0OmIkWt,4
1,1,244133,6EIVLz5xM1xE29r0OmIkWt,Falling Slowly,66,1,track,album,Music From The Motion Picture Once,2007-05-22,day,13,album,4SklVMGMsWTq7cJd9MixUx,0.34,0.209,0,-11.869,1,0.0279,0.679,0.000443,0.101,0.151,137.042,audio_features,spotify:track:6EIVLz5xM1xE29r0OmIkWt,https://api.spotify.com/v1/tracks/6EIVLz5xM1xE29r0OmIkWt,https://api.spotify.com/v1/audio-analysis/6EIVLz5xM1xE29r0OmIkWt,4
2,2,188240,13NC44aS3d0EFF58oVQ8T7,River Flows In You,57,1,track,compilation,Piano In You,2011-06-02,day,20,album,0fauHpmSHwodVYIjTqOGHz,0.32,0.242,9,-19.773,1,0.0498,0.987,0.949,0.0924,0.115,145.722,audio_features,spotify:track:13NC44aS3d0EFF58oVQ8T7,https://api.spotify.com/v1/tracks/13NC44aS3d0EFF58oVQ8T7,https://api.spotify.com/v1/audio-analysis/13NC44aS3d0EFF58oVQ8T7,4
3,1,288480,3qZHUZTQiTMfJXcUYzY5mT,In the Stone,60,1,track,album,I Am,1979-06,month,9,album,4QQgXkCYTt3BlENzhyNETg,0.656,0.662,4,-10.346,1,0.0493,0.0964,0.000612,0.0853,0.717,114.612,audio_features,spotify:track:3qZHUZTQiTMfJXcUYzY5mT,https://api.spotify.com/v1/tracks/3qZHUZTQiTMfJXcUYzY5mT,https://api.spotify.com/v1/audio-analysis/3qZHUZTQiTMfJXcUYzY5mT,4
4,2,247373,5dSiLl9vBxziv8vT9muNls,"Baby, This Love I Have",39,2,track,compilation,Capitol Disco,2007-06-08,day,31,album,2i1IdHG5w0wiSmJGoqAGlj,0.594,0.447,1,-11.847,0,0.0505,0.288,0.00208,0.0892,0.729,83.263,audio_features,spotify:track:5dSiLl9vBxziv8vT9muNls,https://api.spotify.com/v1/tracks/5dSiLl9vBxziv8vT9muNls,https://api.spotify.com/v1/audio-analysis/5dSiLl9vBxziv8vT9muNls,4
5,1,220000,2FG2T9q4chMeIxmy7O7jyj,Razzamatazz,45,2,track,compilation,Hits,2002-01-01,day,16,album,36E7oYfz3LLRto6l2WmDcD,0.46,0.961,9,-4.164,0,0.06,0.0725,0.0,0.571,0.508,137.196,audio_features,spotify:track:2FG2T9q4chMeIxmy7O7jyj,https://api.spotify.com/v1/tracks/2FG2T9q4chMeIxmy7O7jyj,https://api.spotify.com/v1/audio-analysis/2FG2T9q4chMeIxmy7O7jyj,4
6,1,198573,05FgZdqxXg40X0WG8MmWMA,Something Changed,59,7,track,album,Different Class,1995-10-30,day,12,album,36E7oYfz3LLRto6l2WmDcD,0.537,0.675,7,-8.332,1,0.0309,0.0226,0.0188,0.355,0.384,120.543,audio_features,spotify:track:05FgZdqxXg40X0WG8MmWMA,https://api.spotify.com/v1/tracks/05FgZdqxXg40X0WG8MmWMA,https://api.spotify.com/v1/audio-analysis/05FgZdqxXg40X0WG8MmWMA,4
7,1,383733,1so0qYkfkiZNNcvJN02qdo,This Is Hardcore - Original Version,53,5,track,album,This Is Hardcore (Deluxe Edition),1998-03-30,day,26,album,36E7oYfz3LLRto6l2WmDcD,0.338,0.511,9,-7.839,0,0.0267,0.00526,0.00062,0.159,0.112,154.136,audio_features,spotify:track:1so0qYkfkiZNNcvJN02qdo,https://api.spotify.com/v1/tracks/1so0qYkfkiZNNcvJN02qdo,https://api.spotify.com/v1/audio-analysis/1so0qYkfkiZNNcvJN02qdo,4
8,2,270800,3DYnqG3jqB1bijSKsJzuzG,Mile End - From 'Trainspotting' Original Motion Picture Soundtrack,52,2,track,album,Different Class / Deluxe Edition,1995-10-30,day,23,album,36E7oYfz3LLRto6l2WmDcD,0.605,0.737,5,-8.917,1,0.0428,0.158,0.000254,0.0989,0.375,98.428,audio_features,spotify:track:3DYnqG3jqB1bijSKsJzuzG,https://api.spotify.com/v1/tracks/3DYnqG3jqB1bijSKsJzuzG,https://api.spotify.com/v1/audio-analysis/3DYnqG3jqB1bijSKsJzuzG,4
9,1,273573,2aC8wwfrM0YeTAzzk8hxqC,Disco 2000,68,5,track,album,Different Class,1995-10-30,day,12,album,36E7oYfz3LLRto6l2WmDcD,0.565,0.902,7,-7.579,0,0.0725,0.0132,0.0,0.0561,0.544,133.11,audio_features,spotify:track:2aC8wwfrM0YeTAzzk8hxqC,https://api.spotify.com/v1/tracks/2aC8wwfrM0YeTAzzk8hxqC,https://api.spotify.com/v1/audio-analysis/2aC8wwfrM0YeTAzzk8hxqC,4
10,2,271333,4z80Wk5401Bt5MA9MZU5NW,Like A Friend,52,3,track,album,This Is Hardcore (Deluxe Edition),1998-03-30,day,26,album,36E7oYfz3LLRto6l2WmDcD,0.301,0.525,5,-8.955,1,0.0426,0.0309,0.000164,0.388,0.345,111.4,audio_features,spotify:track:4z80Wk5401Bt5MA9MZU5NW,https://api.spotify.com/v1/tracks/4z80Wk5401Bt5MA9MZU5NW,https://api.spotify.com/v1/audio-analysis/4z80Wk5401Bt5MA9MZU5NW,4
11,1,352800,6ltmS4rHQSajk403Q7x3CY,Sunrise - Original Mix,39,11,track,album,We Love Life,2001-01-01,day,11,album,36E7oYfz3LLRto6l2WmDcD,0.269,0.624,2,-5.939,1,0.0332,0.00483,0.5,0.0808,0.0466,130.773,audio_features,spotify:track:6ltmS4rHQSajk403Q7x3CY,https://api.spotify.com/v1/tracks/6ltmS4rHQSajk403Q7x3CY,https://api.spotify.com/v1/audio-analysis/6ltmS4rHQSajk403Q7x3CY,4
12,1,249382,6liNJDyWJjyHAgDnAX95bw,Fire and the Flood,71,14,track,album,Dream Your Life Away (Special Edition),2014-09-09,day,15,album,10exVja0key0uqUkk6LJRT,0.596,0.827,5,-4.402,1,0.0372,0.0242,0.0,0.0958,0.329,115.034,audio_features,spotify:track:6liNJDyWJjyHAgDnAX95bw,https://api.spotify.com/v1/tracks/6liNJDyWJjyHAgDnAX95bw,https://api.spotify.com/v1/audio-analysis/6liNJDyWJjyHAgDnAX95bw,4
13,1,248400,0gzqZ9d1jIKo9psEIthwXe,Beautiful Day,78,1,track,album,All That You Can't Leave Behind,2000-01-01,day,12,album,51Blml2LZPmy7TTiAg47vQ,0.536,0.928,11,-6.492,0,0.0589,0.0154,0.00134,0.2,0.389,136.258,audio_features,spotify:track:0gzqZ9d1jIKo9psEIthwXe,https://api.spotify.com/v1/tracks/0gzqZ9d1jIKo9psEIthwXe,https://api.spotify.com/v1/audio-analysis/0gzqZ9d1jIKo9psEIthwXe,4
14,1,206533,3gIBSlXYIN1mru35l4LWPB,Still Crazy After All These Years,61,1,track,album,Still Crazy After All These Years,1975-10-25,day,12,album,2CvCyf1gEVhI0mX6aFXmVI,0.267,0.252,7,-11.687,1,0.0351,0.8,4.43e-05,0.089,0.13,37.114,audio_features,spotify:track:3gIBSlXYIN1mru35l4LWPB,https://api.spotify.com/v1/tracks/3gIBSlXYIN1mru35l4LWPB,https://api.spotify.com/v1/audio-analysis/3gIBSlXYIN1mru35l4LWPB,4
15,1,237293,0jf293soDMku4J3lHZXUa3,Castle Park,46,8,track,album,View With A Room,2022-09-16,day,10,album,2TSuAchdgVzsAa9wDK1IeT,0.509,0.368,7,-12.232,0,0.0323,0.93,0.866,0.137,0.448,91.771,audio_features,spotify:track:0jf293soDMku4J3lHZXUa3,https://api.spotify.com/v1/tracks/0jf293soDMku4J3lHZXUa3,https://api.spotify.com/v1/audio-analysis/0jf293soDMku4J3lHZXUa3,3
